,latitude,longitude,geometry
181,35.22806,-80.856178,POINT (-80.856178 35.22806)
182,12.971606,77.594376,POINT (77.594376 12.971606)
183,59.3339908,18.0571198,POINT (18.0571198 59.3339908)
184,42.3729,-71.248472,POINT (-71.24847200000001 42.3729)
186,40.7445343,-73.9874008,POINT (-73.9874008 40.7445343)
187,39.044694,-94.597896,POINT (-94.59789600000001 39.044694)
187,40.748901,-73.992463,POINT (-73.992463 40.748901)
187,37.78866,-122.401406,POINT (-122.401406 37.78866)
187,26.580095,-81.879069,POINT (-81.879069 26.580095)
187,43.6474554,-79.3953743,POINT (-79.3953743 43.6474554)
187,51.5114403,-0.1229212,POINT (-0.1229212 51.5114403)
187,48.1635092,11.5582609,POINT (11.5582609 48.1635092)
187,48.8506065,2.3797825,POINT (2.3797825 48.8506065)
187,31.222622,121.4770384,POINT (121.4770384 31.222622)
188,40.725435,-73.997395,POINT (-73.997395 40.725435)
189,51.5192042,-0.1626103,POINT (-0.1626103 51.5192042)
190,37.433414,-122.128772,POINT (-122.128772 37.433414)
191,42.47218,-71.262508,POINT (-71.262508 42.47218)
192,40.723384,-74.001704,POINT (-74.001704 40.723384)
193,30.386601,-97.753739,POINT (-97.753739 30.386601)
194,40.643438,-73.886452,POINT (-73.88645200000001 40.643438)
195,37.386665,-122.084171,POINT (-122.084171 37.386665)
196,32.029748,34.856173,POINT (34.856173 32.029748)
197,37.42746,-122.143915,POINT (-122.143915 37.42746)
198,37.781265,-122.393229,POINT (-122.393229 37.781265)
199,37.387114,-121.973228,POINT (-121.973228 37.387114)
200,40.74406,-74.004592,POINT (-74.004592 40.74406)
203,34.031276,-118.456806,POINT (-118.456806 34.031276)
204,37.779624,-122.391236,POINT (-122.391236 37.779624)
205,37.563585,-122.324621,POINT (-122.324621 37.563585)
206,40.775537,-73.981709,POINT (-73.981709 40.775537)
209,37.453687,-122.228595,POINT (-122.228595 37.453687)
211,40.757929,-73.985506,POINT (-73.985506 40.757929)
212,40.357978,-111.777531,POINT (-111.777531 40.357978)
213,38.003376,-79.420926,POINT (-79.42092599999999 38.003376)
215,37.764169,-122.402021,POINT (-122.402021 37.764169)
216,33.8171,-111.9035,POINT (-111.9035 33.8171)
217,37.446668,-122.156579,POINT (-122.156579 37.446668)
218,37.445714,-122.161247,POINT (-122.161247 37.445714)
220,47.6015315,-122.335943,POINT (-122.335943 47.6015315)
223,43.61295,-116.205637,POINT (-116.205637 43.61295)
224,41.890376,-87.63406,POINT (-87.63406000000001 41.890376)
225,47.617842,-122.20052,POINT (-122.20052 47.617842)
226,42.296111,-71.238524,POINT (-71.238524 42.296111)
227,47.6104101,-122.3396627,POINT (-122.3396627 47.6104101)
228,34.01533,-118.493592,POINT (-118.493592 34.01533)
229,37.09024,-95.712891,POINT (-95.712891 37.09024)
230,43.67084,-83.913153,POINT (-83.91315299999999 43.67084)
231,40.01621,-105.28131,POINT (-105.28131 40.01621)
232,37.368594,-122.034021,POINT (-122.034021 37.368594)
233,42.375392,-71.118487,POINT (-71.118487 42.375392)
234,42.375219,-71.056101,POINT (-71.056101 42.375219)
235,40.7413559,-73.9912208,POINT (-73.99122079999999 40.7413559)
236,37.451124,-122.166264,POINT (-122.166264 37.451124)
237,42.375392,-71.118487,POINT (-71.118487 42.375392)
238,37.580304,-122.343679,POINT (-122.343679 37.580304)
239,40.72948,-74.000195,POINT (-74.00019500000001 40.72948)
240,51.519819,-0.136174,POINT (-0.136174 51.519819)
241,37.557637,-122.285714,POINT (-122.285714 37.557637)
242,34.064491,-118.42749,POINT (-118.42749 34.064491)
243,33.020832,-117.077311,POINT (-117.077311 33.020832)
245,37.661237,-121.803572,POINT (-121.803572 37.661237)
246,37.566879,-122.323895,POINT (-122.323895 37.566879)
248,37.789634,-122.404052,POINT (-122.404052 37.789634)
249,33.977854,-118.445271,POINT (-118.445271 33.977854)
252,42.364367,-71.078978,POINT (-71.07897800000001 42.364367)
254,40.756799,-73.976348,POINT (-73.976348 40.756799)
255,37.560155,-122.285588,POINT (-122.285588 37.560155)
256,42.304545,-71.220187,POINT (-71.220187 42.304545)
257,47.6011125,-122.3293984,POINT (-122.3293984 47.6011125)
259,45.500277,-73.560084,POINT (-73.560084 45.500277)
260,37.396312,-121.961396,POINT (-121.961396 37.396312)
261,37.765125,-122.4044034,POINT (-122.4044034 37.765125)
262,37.502742,-122.211281,POINT (-122.211281 37.502742)
263,47.603015,-122.335668,POINT (-122.335668 47.603015)
265,37.557637,-122.285714,POINT (-122.285714 37.557637)
266,37.775196,-122.419204,POINT (-122.419204 37.775196)
267,37.39248,-122.072612,POINT (-122.072612 37.39248)
268,42.354022,-71.140762,POINT (-71.140762 42.354022)
269,40.530724,-3.632687,POINT (-3.632687 40.530724)
270,37.856331,-122.495222,POINT (-122.495222 37.856331)
271,40.781159,-73.978332,POINT (-73.97833199999999 40.781159)
272,37.09024,-95.712891,POINT (-95.712891 37.09024)
273,37.443058,-122.161674,POINT (-122.161674 37.443058)
274,37.386175,-122.083487,POINT (-122.083487 37.386175)
275,37.09024,-95.712891,POINT (-95.712891 37.09024)
276,47.649027,-122.346299,POINT (-122.346299 47.649027)
277,47.620716,-122.347533,POINT (-122.347533 47.620716)
278,37.476479,-122.221717,POINT (-122.221717 37.476479)
279,37.792968,-122.40414,POINT (-122.40414 37.792968)
280,37.782809,-122.394354,POINT (-122.394354 37.782809)
280,47.5984767,-122.3331466,POINT (-122.3331466 47.5984767)
281,37.744274,-122.421344,POINT (-122.421344 37.744274)
282,40.743808,-73.983626,POINT (-73.983626 40.743808)
283,37.553743,-122.300246,POINT (-122.300246 37.553743)
284,42.288291,-71.52679,POINT (-71.52679000000001 42.288291)
285,51.54202,-0.0558343,POINT (-0.0558343 51.54202)
287,40.621591,-73.960717,POINT (-73.960717 40.621591)
288,37.445326,-122.160671,POINT (-122.160671 37.445326)
289,39.755092,-104.988123,POINT (-104.988123 39.755092)
290,37.486571,-122.229161,POINT (-122.229161 37.486571)
292,37.388095,-122.08276,POINT (-122.08276 37.388095)
293,37.285133,-121.932962,POINT (-121.932962 37.285133)
294,37.590056,-122.347654,POINT (-122.347654 37.590056)
295,40.741266,-73.990753,POINT (-73.990753 40.741266)
295,37.787249,-122.3990501,POINT (-122.3990501 37.787249)
295,41.8831959,-87.6517774,POINT (-87.6517774 41.8831959)
295,32.1618634,34.9341664,POINT (34.9341664 32.1618634)
295,48.8743443,2.3226888,POINT (2.3226888 48.8743443)
295,51.5150129,-0.1326786,POINT (-0.1326786 51.5150129)
296,48.8599791,2.3608064,POINT (2.3608064 48.8599791)
297,37.790992,-122.40188,POINT (-122.40188 37.790992)
298,37.791733,-122.398398,POINT (-122.398398 37.791733)
299,42.292649,-83.734673,POINT (-83.734673 42.292649)
300,37.332271,-122.006539,POINT (-122.006539 37.332271)
301,37.43938,-122.158804,POINT (-122.158804 37.43938)
302,47.602873,-122.336132,POINT (-122.336132 47.602873)
303,37.787126,-122.39783,POINT (-122.39783 37.787126)
305,37.351894,-122.085807,POINT (-122.085807 37.351894)
306,37.786906,-122.397672,POINT (-122.397672 37.786906)
307,40.755446,-73.980246,POINT (-73.98024599999999 40.755446)
308,47.607065,-122.335373,POINT (-122.335373 47.607065)
309,33.756806,-84.392198,POINT (-84.39219799999999 33.756806)
309,40.718888,-74.001169,POINT (-74.001169 40.718888)
310,52.523402,13.398694,POINT (13.398694 52.523402)
311,40.7550005,-73.9717364,POINT (-73.9717364 40.7550005)
312,47.603327,-122.334983,POINT (-122.334983 47.603327)
313,43.65455,-79.364013,POINT (-79.364013 43.65455)
314,52.195668,0.130647,POINT (0.130647 52.195668)
